Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 03/01/2000 / Data final: 04/01/2010.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
19/01/2009;13,66;1,00050823;247.471.896.360,81;1287;13,65;13,66;13,66;0,137;137,434;
16/01/2009;13,66;1,00050823;251.830.988.221,75;1274;13,65;13,66;13,66;0,118;181,179;
15/01/2009;13,66;1,00050823;232.705.984.450,47;1345;13,65;13,66;13,66;0,107;218,485;
14/01/2009;13,66;1,00050823;222.300.313.590,82;1252;13,65;13,66;13,66;0,122;161,772;
13/01/2009;13,66;1,00050823;225.908.241.608,07;1277;13,64;13,66;13,66;0,14;123,106;
12/01/2009;13,66;1,00050823;226.141.662.001,5;1241;13,65;13,66;13,66;0,134;142,469;
09/01/2009;13,66;1,00050823;229.459.348.318,51;1313;13,64;13,66;13,66;0,138;129,966;
08/01/2009;13,66;1,00050823;234.539.086.507,03;1275;13,65;13,66;13,66;0,247;2.621,007;
07/01/2009;13,66;1,00050823;233.801.865.526,23;1298;13,65;13,66;13,66;0,141;122,854;
06/01/2009;13,66;1,00050823;251.674.702.147,53;1379;13,65;13,66;13,66;0,21;2.818,587;
05/01/2009;13,66;1,00050823;244.201.517.973,23;1250;13,65;13,66;13,66;0,146;121,108;
02/01/2009;13,67;1,00050858;233.910.276.019,25;1252;13,65;13,66;13,66;0,156;99,948;
31/12/2008;13,67;1,00050858;130.900.418.158,54;307;13,67;13,66;13,66;0,027;554,661;
30/12/2008;13,66;1,00050823;132.902.850.830,04;355;13,66;13,66;13,66;0,035;607,789;
29/12/2008;13,66;1,00050823;171.424.564.073,51;1336;13,64;13,66;13,66;0,237;1.075,941;
26/12/2008;13,66;1,00050823;178.327.892.147,9;1299;13,64;13,66;13,66;0,115;154,595;
24/12/2008;13,66;1,00050823;163.558.817.055,41;891;13,65;13,66;13,66;0,129;313,205;
23/12/2008;13,66;1,00050823;173.150.319.175,01;894;13,65;13,66;13,66;0,138;134,918;
22/12/2008;13,66;1,00050823;185.254.750.812,64;1436;13,65;13,66;13,66;0,112;159,828;
